id;id_doi;discipline;count
327;40;Earth and Planetary Sciences;1
328;40;Social Sciences;90
329;40;Economics, Econometrics and Finance;15
330;41;Business, Management and Accounting;1
331;42;Business, Management and Accounting;41
332;42;Psychology;2
333;42;Unspecified;10
335;42;Biochemistry, Genetics and Molecular Biology;1
336;42;Arts and Humanities;1
337;42;Social Sciences;15
338;43;Business, Management and Accounting;40
339;43;Psychology;6
340;43;Chemical Engineering;1
341;43;Sports and Recreations;1
342;43;Unspecified;3
343;43;Engineering;1
344;43;Medicine and Dentistry;1
345;43;Computer Science;1
346;43;Arts and Humanities;1
347;43;Agricultural and Biological Sciences;1
348;43;Social Sciences;4
349;43;Economics, Econometrics and Finance;4
350;44;Business, Management and Accounting;35
351;44;Decision Sciences;1
352;44;Unspecified;9
353;44;Biochemistry, Genetics and Molecular Biology;1
354;44;Arts and Humanities;2
355;44;Social Sciences;8
356;45;Business, Management and Accounting;243
357;45;Materials Science;1
358;45;Physics and Astronomy;1
359;45;Psychology;5
360;45;Environmental Science;1
361;45;Computer Science;10
362;45;Unspecified;22
363;45;Linguistics;1
364;45;Engineering;4
365;45;Medicine and Dentistry;2
366;45;Design;3
367;45;Arts and Humanities;3
368;45;Agricultural and Biological Sciences;1
369;45;Nursing and Health Professions;3
371;45;Social Sciences;33
372;45;Economics, Econometrics and Finance;10
373;46;Business, Management and Accounting;74
374;46;Economics, Econometrics and Finance;4
375;46;Unspecified;13
376;46;Engineering;1
377;46;Biochemistry, Genetics and Molecular Biology;1
378;46;Computer Science;1
379;46;Social Sciences;7
380;46;Psychology;8
381;47;Business, Management and Accounting;57
382;47;Materials Science;1
383;47;Psychology;12
384;47;Decision Sciences;1
385;47;Unspecified;18
386;47;Engineering;3
387;47;Medicine and Dentistry;3
388;47;Computer Science;2
389;47;Arts and Humanities;2
390;47;Social Sciences;19
391;47;Economics, Econometrics and Finance;1
392;48;Business, Management and Accounting;162
393;48;Linguistics;2
394;48;Psychology;63
395;48;Environmental Science;1
396;48;Nursing and Health Professions;2
397;48;Unspecified;26
398;48;Medicine and Dentistry;1
399;48;Design;2
400;48;Arts and Humanities;6
401;48;Biochemistry, Genetics and Molecular Biology;1
402;48;Agricultural and Biological Sciences;1
403;48;Earth and Planetary Sciences;2
404;48;Social Sciences;65
405;48;Economics, Econometrics and Finance;5
406;49;Business, Management and Accounting;19
407;49;Economics, Econometrics and Finance;1
408;49;Unspecified;13
409;49;Nursing and Health Professions;1
410;49;Engineering;1
411;49;Biochemistry, Genetics and Molecular Biology;1
412;49;Computer Science;1
413;49;Social Sciences;2
414;49;Psychology;7
415;50;Business, Management and Accounting;51
416;50;Economics, Econometrics and Finance;3
417;50;Environmental Science;1
418;50;Unspecified;8
419;50;Engineering;2
420;50;Agricultural and Biological Sciences;1
421;50;Social Sciences;6
422;50;Psychology;6
423;51;Business, Management and Accounting;36
424;51;Economics, Econometrics and Finance;2
425;51;Unspecified;2
426;51;Engineering;1
427;51;Design;1
428;51;Arts and Humanities;1
429;51;Social Sciences;7
430;51;Psychology;2
431;52;Business, Management and Accounting;19
432;52;Economics, Econometrics and Finance;2
433;52;Nursing and Health Professions;1
434;52;Biochemistry, Genetics and Molecular Biology;1
435;52;Unspecified;7
436;52;Agricultural and Biological Sciences;1
437;52;Social Sciences;5
438;52;Psychology;5
439;53;Business, Management and Accounting;9
440;53;Economics, Econometrics and Finance;3
441;53;Sports and Recreations;1
442;53;Unspecified;3
443;53;Biochemistry, Genetics and Molecular Biology;1
444;53;Social Sciences;4
445;54;Business, Management and Accounting;27
446;54;Social Sciences;7
447;54;Unspecified;5
448;55;Business, Management and Accounting;70
449;55;Physics and Astronomy;1
450;55;Psychology;14
451;55;Unspecified;10
452;55;Engineering;3
453;55;Medicine and Dentistry;1
454;55;Design;1
455;55;Computer Science;1
456;55;Arts and Humanities;3
457;55;Biochemistry, Genetics and Molecular Biology;1
458;55;Social Sciences;20
459;55;Economics, Econometrics and Finance;7
460;56;Business, Management and Accounting;7
461;56;Social Sciences;5
462;56;Computer Science;1
463;56;Economics, Econometrics and Finance;1
464;57;Business, Management and Accounting;184
465;57;Materials Science;2
466;57;Physics and Astronomy;1
467;57;Psychology;7
468;57;Sports and Recreations;2
469;57;Computer Science;5
470;57;Unspecified;25
471;57;Pharmacology, Toxicology and Pharmaceutical Science;1
472;57;Engineering;3
473;57;Medicine and Dentistry;1
474;57;Design;1
475;57;Arts and Humanities;2
476;57;Neuroscience;1
477;57;Agricultural and Biological Sciences;1
478;57;Nursing and Health Professions;2
479;57;Social Sciences;39
480;57;Economics, Econometrics and Finance;5
481;58;Business, Management and Accounting;1
482;59;Business, Management and Accounting;75
483;59;Materials Science;1
484;59;Psychology;30
485;59;Sports and Recreations;3
486;59;Computer Science;4
487;59;Unspecified;15
488;59;Engineering;3
489;59;Design;2
490;59;Arts and Humanities;1
491;59;Neuroscience;1
492;59;Agricultural and Biological Sciences;2
493;59;Nursing and Health Professions;1
494;59;Social Sciences;20
495;59;Economics, Econometrics and Finance;2
496;60;Business, Management and Accounting;43
497;60;Psychology;3
499;60;Engineering;2
500;60;Computer Science;4
501;60;Social Sciences;3
502;61;Business, Management and Accounting;128
503;61;Physics and Astronomy;1
504;61;Psychology;5
505;61;Environmental Science;3
506;61;Unspecified;14
507;61;Engineering;2
508;61;Medicine and Dentistry;1
509;61;Design;2
510;61;Arts and Humanities;2
511;61;Social Sciences;26
512;61;Economics, Econometrics and Finance;8
513;62;Business, Management and Accounting;3
514;62;Engineering;1
515;63;Business, Management and Accounting;49
516;63;Physics and Astronomy;1
517;63;Psychology;1
518;63;Sports and Recreations;1
519;63;Unspecified;6
520;63;Engineering;2
522;63;Economics, Econometrics and Finance;5
523;64;Business, Management and Accounting;20
524;64;Social Sciences;5
525;64;Unspecified;4
526;64;Psychology;4
527;65;Business, Management and Accounting;213
528;65;Linguistics;1
529;65;Psychology;9
530;65;Environmental Science;1
531;65;Decision Sciences;3
532;65;Computer Science;9
533;65;Unspecified;28
534;65;Engineering;22
535;65;Medicine and Dentistry;2
536;65;Design;3
